generation,best_fitness,avg_fitness,worst_fitness,improvement_percent,mutation_rate
0,3.6,-1.8588333333333333,-7.500000000000002,100.0,0.01
1,5.399999999999999,0.7890000000000001,-5.500000000000003,142.44597866045012,0.01
2,7.4,2.799166666666667,-3.5999999999999996,254.7739754964089,0.01
3,8.0,4.172666666666665,-2.4,49.06817505209879,0.01
4,8.649999999999999,5.711999999999999,0.5000000000000001,36.890877136922846,0.01
5,9.199999999999998,6.892666666666666,3.100000000000001,20.66993464052289,0.01
6,10.4,7.561166666666665,3.1,9.698713608666202,0.01
7,10.8,8.046166666666666,3.899999999999999,6.414354045892407,0.01
8,11.399999999999999,8.616666666666665,4.399999999999999,7.09033287072518,0.01
9,11.449999999999998,9.297999999999998,5.899999999999999,7.907156673114116,0.01
10,11.6,9.735333333333333,6.0,4.703520470352065,0.01
11,12.2,10.136666666666665,4.299999999999997,4.1224405943983955,0.01
12,12.2,10.549,6.449999999999999,4.067740874712278,0.01
13,12.399999999999999,10.896833333333332,8.2,3.2973109615445266,0.01
14,12.449999999999998,11.143666666666666,7.799999999999999,2.2651840748841545,0.01
15,12.749999999999998,11.219333333333333,7.699999999999999,0.6790104992372359,0.01
16,12.749999999999998,11.343333333333332,7.799999999999999,1.1052350109929179,0.01
17,12.7,11.565499999999998,7.899999999999999,1.9585659712018786,0.01
18,12.85,11.696666666666665,9.0,1.1341201562117256,0.01
19,12.95,11.835833333333332,8.399999999999999,1.1897976631518914,0.01
20,12.85,11.909666666666665,7.199999999999999,0.6238118707315327,0.01
21,13.049999999999999,12.190666666666665,9.399999999999997,2.3594279156987374,0.005
22,13.0,12.292666666666666,9.399999999999999,0.8367056764738078,0.005
23,13.0,12.416999999999998,9.8,1.0114431368295396,0.005
24,13.0,12.487333333333332,10.299999999999999,0.566427746906129,0.005
25,13.049999999999999,12.509333333333332,10.6,0.1761785275746109,0.005
26,13.049999999999999,12.499833333333333,9.75,-0.0759432956725579,0.005
27,13.0,12.552999999999999,10.599999999999998,0.4253390045200543,0.005
28,13.1,12.562833333333334,9.549999999999997,0.0783345282668262,0.005
29,13.2,12.522,9.8,-0.3250328349496544,0.005
30,13.1,12.528833333333331,7.4,0.05457062237127476,0.005
31,13.2,12.623666666666667,10.1,0.7569207029119676,0.0025
32,13.1,12.617999999999999,10.299999999999999,-0.044889229225541415,0.0025
33,13.2,12.632333333333333,10.1,0.11359433613357794,0.0025
34,13.2,12.688833333333331,10.7,0.4472649550096155,0.0025
35,13.2,12.680166666666667,9.399999999999999,-0.06830152496287936,0.0025
36,13.2,12.703833333333332,10.8,0.1866431829234531,0.0025
37,13.2,12.723666666666666,9.950000000000001,0.15612085590964261,0.0025
38,13.2,12.754833333333332,9.700000000000001,0.24495035498152273,0.0025
39,13.2,12.709,9.950000000000001,-0.35934090344835956,0.0025
40,13.2,12.799333333333333,10.299999999999999,0.710782385186353,0.0025
41,13.2,12.834833333333332,10.299999999999999,0.27735819573935344,0.00125
42,13.2,12.860499999999998,10.7,0.19997662610863193,0.00125
43,13.2,12.933333333333334,10.95,0.5663336054845093,0.00125
44,13.2,12.943833333333332,10.7,0.08118556701029862,0.00125
45,13.2,12.977333333333332,10.799999999999999,0.2588105017833467,0.00125
46,13.2,13.002833333333333,11.699999999999998,0.19649645535806765,0.00125
47,13.2,13.023833333333332,11.399999999999999,0.1615032621095327,0.00125
48,13.2,13.0025,11.299999999999999,-0.16380225995930098,0.00125
